case_id,state,district,referral_date,referral_source,child_age_group,case_type,risk_level,outreach_attempts,service_provided,follow_up_status,case_status,support_amount_inr,days_to_first_contact,outcome_category
CWI-004780,West Bengal,Asansol,2023-07-24,Healthcare Facility,15-17,Protection Concern,Low,4,Counseling,Completed,Open,2920,5,Stabilized
CWI-007476,Delhi,North Delhi,2024-07-02,Childline/Helpline,0-5,Family Reintegration,Low,1,Medical Referral,Completed,Open,1859,3,Stabilized
CWI-007877,West Bengal,Asansol,2024-10-14,School,11-14,Mental Health Support,Low,5,Counseling,In Progress,Closed,1741,5,Stabilized
CWI-006750,West Bengal,Darjeeling,2024-06-15,School,15-17,Education Support,Low,4,Family Counseling,In Progress,Open,1876,2,Unable to Verify Outcome
CWI-008556,Andhra Pradesh,Tirupati,2023-09-12,Community Worker,0-5,Mental Health Support,Low,3,Education Kit,Completed,Open,1047,10,Stabilized
CWI-006646,Kerala,Thiruvananthapuram,2025-11-07,School,15-17,Mental Health Support,Medium,5,Counseling,Pending,Closed,5606,9,Referred to Specialist Agency
CWI-006991,Andhra Pradesh,Vijayawada,2023-07-10,Police,0-5,Emergency Shelter,Medium,3,Education Kit,Completed,Closed,5506,5,Stabilized
CWI-008267,Uttar Pradesh,Varanasi,2025-10-05,Childline/Helpline,11-14,Mental Health Support,Medium,6,Cash Support,Completed,Escalated,3719,2,Stabilized
CWI-008540,Karnataka,Mangaluru,,NGO Partner,6-10,Health/Nutrition,High,4,Counseling,Pending,Closed,5381,3,Improved Access to Services
CWI-003393,Uttar Pradesh,Lucknow,2023-04-08,Community Worker,6-10,Emergency Shelter,Medium,3,Medical Referral,In Progress,Escalated,5987,7,Stabilized
CWI-006326,Karnataka,Mangaluru,2025-10-05,NGO Partner,15-17,Education Support,Low,4,Shelter Referral,In Progress,Closed,1312,11,Ongoing Support Needed
CWI-003529,Rajasthan,Udaipur,2024-09-24,NGO Partner,0-5,Mental Health Support,High,2,Medical Referral,Completed,Referred,5258,0,Ongoing Support Needed
CWI-004605,west bengal,Darjeeling,2024-08-18,Community Worker,6-10,Emergency Shelter,Low,3,Family Counseling,Pending,Closed,2644,7,Improved Access to Services
CWI-007024,Maharashtra,Nashik,2023-06-30,Community Worker,11-14,Education Support,Low,6,Family Counseling,Completed,Referred,2074,6,Stabilized
CWI-006322,Tamil Nadu,Coimbatore,2023-04-13,Community Worker,15-17,Education Support,High,6,Education Kit,Completed,Escalated,8565,3,Stabilized
CWI-000746,Maharashtra,Pune,2023-05-08,Childline/Helpline,15-17,Health/Nutrition,Medium,3,Family Counseling,Completed,Open,2147,6,Ongoing Support Needed
CWI-000711,Uttar Pradesh,Prayagraj,2025-03-26,Childline/Helpline,0-5,Family Reintegration,Low,1,Cash Support,Completed,Open,2391,3,Ongoing Support Needed
CWI-000380,Kerala,,2023-07-08,NGO Partner,6-10,Protection Concern,High,5,Shelter Referral,In Progress,Closed,7191,2,Referred to Specialist Agency
CWI-008783,Uttar Pradesh,Agra,2025-05-27,NGO Partner,11-14,Education Support,Critical,2,Shelter Referral,Pending,Open,8908,2,Stabilized
CWI-003012,Uttar Pradesh,Lucknow,2025-09-10,Healthcare Facility,11-14,Mental Health Support,Medium,4,Shelter Referral,Completed,Closed,4006,3,Improved Access to Services
CWI-008859,Karnataka,Mysuru,2025-09-27,School,6-10,Family Reintegration,High,4,Legal Aid Referral,In Progress,Referred,6277,4,Improved Access to Services
CWI-008639,Uttar Pradesh,Kanpur,2024-03-10,Childline/Helpline,0-5,Emergency Shelter,High,5,Legal Aid Referral,Pending,Closed,4350,0,Referred to Specialist Agency
CWI-008567,Uttar Pradesh,Kanpur,2025-07-07,Community Worker,15-17,Health/Nutrition,Low,3,Nutrition Support,Completed,Open,4661,4,Referred to Specialist Agency
CWI-003498,Kerala,Thrissur,2023-03-15,Community Worker,11-14,Protection Concern,High,2,Counseling,Completed,Closed,6529,1,Ongoing Support Needed
CWI-003890,Karnataka,Bengaluru Urban,2025-04-12,School,0-5,Health/Nutrition,Low,5,Cash Support,Completed,Closed,3730,4,Unable to Verify Outcome
CWI-004485,Rajasthan,Kota,2023-05-13,School,11-14,Mental Health Support,Low,3,Nutrition Support,Completed,Open,1603,12,Improved Access to Services
CWI-004012,Andhra Pradesh,Tirupati,2023-02-07,NGO Partner,11-14,Mental Health Support,Medium,1,Nutrition Support,Completed,Closed,4152,6,Improved Access to Services
CWI-002620,Uttar pradesh,Kanpur,2025-02-11,Childline/Helpline,0-5,Protection Concern,Medium,3,Cash Support,Pending,Escalated,5761,4,Stabilized
CWI-006671,TN,,2025-07-29,Childline/Helpline,15-17,Protection Concern,Medium,1,Medical Referral,Completed,Open,6862,2,Referred to Specialist Agency
CWI-006513,Andhra Pradesh,Vijayawada,2024-08-19,Community Worker,6-10,Education Support,Medium,3,Shelter Referral,Completed,Referred,3729,3,Ongoing Support Needed
CWI-003468,Tamil Nadu,Chennai,2025-03-04,NGO Partner,6-10,Health/Nutrition,Medium,2,Nutrition Support,Completed,Closed,4058,5,Ongoing Support Needed
CWI-001314,Telangana,Nizamabad,2023-01-12,School,15-17,Health/Nutrition,Medium,4,Education Kit,Completed,Open,5464,2,Stabilized
CWI-008606,Maharashtra,Pune,2024-10-23,School,0-5,Protection Concern,Medium,4,Education Kit,Completed,Closed,3571,3,Unable to Verify Outcome
CWI-002070,Maharashtra,Nashik,2024-02-14,NGO Partner,6-10,Education Support,Medium,3,Legal Aid Referral,Completed,Closed,2457,6,Ongoing Support Needed
CWI-002983,Andhra Pradesh,Kurnool,2024-03-20,NGO Partner,15-17,Mental Health Support,Medium,3,Medical Referral,Completed,Closed,5502,1,Ongoing Support Needed
CWI-005915,Karnatka,Bengaluru Urban,2024-10-14,NGO Partner,0-5,Emergency Shelter,Low,4,Education Kit,Pending,Closed,213,4,Ongoing Support Needed
CWI-009171,Andhra Pradesh,Vijayawada,2025-08-06,Community Worker,15-17,Emergency Shelter,High,3,Counseling,Pending,Closed,10514,2,Improved Access to Services
CWI-001286,Uttar Pradesh,Agra,2023-05-24,Community Worker,0-5,Health/Nutrition,High,4,Medical Referral,In Progress,Open,6295,2,Referred to Specialist Agency
CWI-008991,Uttar Pradesh,Lucknow,2024-08-28,Police,15-17,Health/Nutrition,Medium,3,Nutrition Support,Completed,Open,1843,3,Referred to Specialist Agency
CWI-008430,Delhi,South Delhi,2023-04-16,Community Worker,6-10,Mental Health Support,Medium,5,Education Kit,Completed,Closed,5086,4,Improved Access to Services
CWI-001350,AP,Guntur,2023-10-07,NGO Partner,11-14,Education Support,Low,1,Family Counseling,Completed,Closed,1143,7,Stabilized
CWI-002612,Rajasthan,Jodhpur,2024-09-05,NGO Partner,11-14,Education Support,Medium,4,Legal Aid Referral,Pending,Open,4045,6,Referred to Specialist Agency
CWI-009495,Telengana,Nizamabad,2024-09-14,School,15-17,Health/Nutrition,High,4,Family Counseling,Completed,Open,8281,3,Stabilized
CWI-003669,Tamil Nadu,Salem,2023-09-13,Community Worker,15-17,Health/Nutrition,Medium,1,Counseling,Completed,Closed,6677,4,Ongoing Support Needed
CWI-002222,Maharashtra,Mumbai,2023-10-13,Childline/Helpline,15-17,Emergency Shelter,High,3,Counseling,Pending,Open,5145,0,Stabilized
CWI-000428,Rajasthan,Ajmer,2023-12-16,NGO Partner,0-5,Health/Nutrition,Medium,4,Family Counseling,Pending,Closed,6237,5,Referred to Specialist Agency
CWI-000654,Karnataka,Bengaluru Urban,2023-10-31,Community Worker,6-10,Education Support,Low,2,Cash Support,Pending,Closed,3453,4,Referred to Specialist Agency
CWI-009914,Karnataka,Bengaluru Urban,2024-02-12,NGO Partner,11-14,Family Reintegration,High,5,Medical Referral,Completed,Escalated,3154,5,Stabilized
CWI-003536,Rajasthan,Jodhpur,2024-10-07,School,11-14,Health/Nutrition,Low,3,Family Counseling,In Progress,Closed,2029,11,Unable to Verify Outcome
CWI-007737,Kerala,Kozhikode,2024-03-29,Childline/Helpline,15-17,Family Reintegration,Critical,4,Education Kit,Completed,Closed,9970,2,Referred to Specialist Agency
CWI-003246,NCT Delhi,New Delhi,2025-08-22,Community Worker,6-10,Protection Concern,High,3,Family Counseling,Completed,Escalated,300,0,Stabilized
CWI-004741,Karnataka,Mysuru,2024-02-15,Childline/Helpline,15-17,Health/Nutrition,High,5,Education Kit,Completed,Referred,7867,2,Unable to Verify Outcome
CWI-009069,west bengal,Howrah,2025-02-24,Healthcare Facility,11-14,Emergency Shelter,Medium,4,Education Kit,In Progress,Escalate,1252,6,Stabilized
CWI-004100,Uttar Pradesh,Prayagraj,2023-12-13,NGO Partner,6-10,Protection Concern,Low,3,Counseling,Completed,Closed,5094,1,Stabilized
CWI-004101,Tamil Nadu,Coimbatore,2023-03-31,NGO Partner,15-17,Health/Nutrition,Low,5,Shelter Referral,In Progress,Open,454,3,Improved Access to Services
CWI-006960,Uttar Pradesh,Prayagraj,2025-03-03,Community Worker,11-14,Education Support,Medium,4,Legal Aid Referral,Pending,Referred,1419,2,Ongoing Support Needed
CWI-000612,West Bengal,Darjeeling,2025-04-14,Community Worker,11-14,Education Support,High,4,Education Kit,Completed,Closed,9055,5,Stabilized
CWI-004289,Uttar Pradesh,Kanpur,2023-03-06,Community Worker,0-5,Family Reintegration,Medium,4,Shelter Referral,In Progress,Closed,5703,6,Ongoing Support Needed
CWI-008571,West Bengal,Darjeeling,2023-12-14,Community Worker,6-10,Education Support,Low,5,Cash Support,Completed,Open,1367,11,Referred to Specialist Agency
CWI-009713,Rajasthan,Jaipur,2024-12-13,Self/Family,0-5,Emergency Shelter,Low,2,Nutrition Support,Completed,Closed,492,2,Stabilized
CWI-001544,Andhra pradesh,Vijayawada,2025-05-27,Police,15-17,Protection Concern,Critical,4,Family Counseling,Pending,Referred,8246,1,Referred to Specialist Agency
CWI-009536,Tamil nadu,Tiruchirappalli,2025-04-08,Community Worker,6-10,Health/Nutrition,Medium,1,Counseling,Completed,Closed,5137,6,Referred to Specialist Agency
CWI-003854,Maharashtra,Pune,2024-10-04,Police,6-10,Health/Nutrition,Low,4,Shelter Referral,Completed,Closed,676,4,Improved Access to Services
CWI-000555,Telangana,Hyderabad,2025-08-12,Community Worker,0-5,Education Support,High,5,Medical Referral,Pending,Referred,6632,1,Referred to Specialist Agency
CWI-006366,Tamil Nadu,Coimbatore,2023-11-12,Community Worker,6-10,Emergency Shelter,Medium,4,Shelter Referral,Completed,Closed,3648,6,Referred to Specialist Agency
CWI-000512,Rajasthan,Jaipur,2023-06-19,Police,15-17,Health/Nutrition,Medium,2,Education Kit,Completed,Closed,1021,5,Referred to Specialist Agency
CWI-003207,Telangana,Rangareddy,2024-04-13,Self/Family,11-14,Mental Health Support,Medium,2,Medical Referral,Completed,Referred,5348,6,Improved Access to Services
CWI-008085,AP,Vijayawada,2024-12-14,School,15-17,Education Support,Medium,3,Medical Referral,Completed,Open,7221,0,Improved Access to Services
CWI-000968,AP,Vijayawada,2023-02-11,School,15-17,Mental Health Support,Low,4,Nutrition Support,In Progress,Closed,951,13,Improved Access to Services
CWI-006044,Uttar Pradesh,Varanasi,2024-07-02,Police,0-5,Family Reintegration,Low,5,Family Counseling,Unable to Contact,Open,1510,0,Ongoing Support Needed
CWI-006880,Andhra Pradesh,Guntur,2024-05-21,Healthcare Facility,11-14,Mental Health Support,Low,2,Education Kit,Pending,Closed,4209,5,Ongoing Support Needed
CWI-006776,Tamil nadu,Coimbatore,2024-05-22,School,15-17,Emergency Shelter,Low,3,Family Counseling,Completed,Closed,3759,3,Ongoing Support Needed
CWI-003296,Uttar Pradesh,Lucknow,2025-04-07,Healthcare Facility,11-14,Mental Health Support,Medium,5,Nutrition Support,In Progress,Closed,5382,3,Referred to Specialist Agency
CWI-008702,Delhi,East Delhi,2024-02-02,Childline/Helpline,6-10,Protection Concern,High,2,Medical Referral,Completed,Open,8226,0,Ongoing Support Needed
CWI-008834,Rajastan,Kota,2024-10-18,Childline/Helpline,0-5,Mental Health Support,Low,3,Family Counseling,Completed,Open,95000,12,Ongoing Support Needed
CWI-008871,Delhi,North Delhi,2024-02-26,NGO Partner,15-17,Protection Concern,High,5,Counseling,Completed,Open,5008,2,Stabilized
CWI-006963,Delhi,New Delhi,2024-10-24,Community Worker,0-5,Emergency Shelter,Medium,4,Cash Support,Completed,Referred,3129,8,Stabilized
CWI-002089,Kerala,Kochi,2025-07-08,NGO Partner,6-10,Emergency Shelter,Medium,3,Legal Aid Referral,Completed,Open,5133,10,Stabilized
CWI-008500,Telangana,Rangareddy,2023-02-25,Community Worker,15-17,Health/Nutrition,High,4,Family Counseling,Completed,Open,5792,0,Improved Access to Services
CWI-006163,Tamil Nadu,Madurai,2025-09-05,School,15-17,Protection Concern,High,5,Counseling,In Progress,Closed,5510,2,Improved Access to Services
CWI-003211,Tamil Nadu,Coimbatore,2024-06-01,NGO Partner,15-17,Mental Health Support,Low,3,Legal Aid Referral,In Progress,Closed,1713,1,Ongoing Support Needed
CWI-009201,Andhra Pradesh,Visakhapatnam,2025-03-06,Self/Family,0-5,Education Support,Low,6,Education Kit,Completed,Closed,3739,0,Referred to Specialist Agency
CWI-006606,Andhra Pradesh,Vijayawada,2024-01-18,Childline/Helpline,0-5,Mental Health Support,Low,4,Nutrition Support,Pending,Referred,1289,10,Improved Access to Services
CWI-001110,Karnataka,Bengaluru Urban,2024-02-18,NGO Partner,11-14,Mental Health Support,Low,2,Medical Referral,Unable to Contact,Closed,737,3,Referred to Specialist Agency
CWI-005729,UP,Agra,2025-02-10,School,15-17,Education Support,High,3,Medical Referral,Completed,Closed,6776,2,Stabilized
CWI-007830,Karnataka,Mysuru,2023-04-04,Community Worker,15-17,Mental Health Support,Low,2,Counseling,Pending,Open,3269,1,Ongoing Support Needed
CWI-001039,Maharashtra,Nashik,2023-08-09,Community Worker,6-10,Mental Health Support,Low,1,Education Kit,Completed,Closed,2636,6,Ongoing Support Needed
CWI-001195,Uttar Pradesh,Varanasi,2024-09-05,Police,11-14,Education Support,Low,6,Counseling,In Progress,Closed,1130,2,Referred to Specialist Agency
CWI-004475,Maharashtra,Nagpur,2024-02-28,Childline/Helpline,6-10,Education Support,Low,1,Medical Referral,Pending,Open,2655,10,Ongoing Support Needed
CWI-009875,Karnataka,Belagavi,2025-10-21,NGO Partner,6-10,Education Support,Low,4,Medical Referral,Completed,Open,2352,2,Ongoing Support Needed
CWI-002123,Karnataka,Dharwad,2025-07-11,Childline/Helpline,6-10,Protection Concern,High,4,Shelter Referral,Completed,Closed,8211,4,Stabilized
CWI-001247,Tamil nadu,Salem,2024-04-10,NGO Partner,15-17,Emergency Shelter,Critical,6,Nutrition Support,Completed,Closed,9068,2,Ongoing Support Needed
CWI-008974,Telangana,Karimnagar,2024-05-25,NGO Partner,6-10,Protection Concern,Medium,3,Education Kit,In Progress,Closed,5116,5,Unable to Verify Outcome
CWI-005701,rajasthan,Udaipur,2025-06-17,Self/Family,11-14,Health/Nutrition,Medium,5,Nutrition Support,In Progress,Closed,5764,2,Referred to Specialist Agency
CWI-000935,Rajasthan,Jodhpur,2025-11-21,Self/Family,0-5,Mental Health Support,Critical,5,Medical Referral,Completed,Escalated,7760,2,Ongoing Support Needed
CWI-006102,Karnataka,Mysuru,2024-02-24,School,6-10,Mental Health Support,Medium,2,Medical Referral,Completed,Referred,2219,7,Referred to Specialist Agency
CWI-004690,kerala,Kochi,2025-12-14,NGO Partner,0-5,Family Reintegration,Medium,4,Shelter Referral,Completed,Open,1802,4,Ongoing Support Needed
CWI-000395,Telangana,Hyderabad,2024-12-31,Self/Family,6-10,Mental Health Support,Low,4,Medical Referral,Completed,Open,2998,12,Ongoing Support Needed
CWI-004686,Tamil nadu,,2024-06-14,Healthcare Facility,0-5,Protection Concern,Low,3,Counseling,In Progress,Open,2368,8,Ongoing Support Needed
CWI-008777,Maharashtra,Pune,2025-02-03,Self/Family,15-17,Family Reintegration,Low,2,Medical Referral,Completed,Referred,2064,11,Ongoing Support Needed
CWI-009166,Maharashtra,Nashik,2025-11-02,School,15-17,Emergency Shelter,Medium,6,Nutrition Support,Pending,Closed,4735,2,Referred to Specialist Agency
CWI-005981,Maharashtra,Thane,2023-06-16,Childline/Helpline,6-10,Protection Concern,Medium,5,Nutrition Support,Completed,Open,3185,5,Ongoing Support Needed
CWI-009943,Rajasthan,Jaipur,2023-03-09,NGO Partner,11-14,Education Support,Low,2,Cash Support,Completed,Closed,1101,14,Improved Access to Services
CWI-002192,Delhi,New Delhi,2024-10-19,Self/Family,11-14,Education Support,High,5,Education Kit,Pending,Closed,5515,5,Stabilized
CWI-001298,Andhra pradesh,Guntur,2024-07-06,Childline/Helpline,6-10,Health/Nutrition,High,4,Nutrition Support,Pending,Closed,4847,2,Referred to Specialist Agency
CWI-005045,Karnataka,Bengaluru Urban,2025-01-22,Healthcare Facility,6-10,Emergency Shelter,Medium,1,Education Kit,Pending,Closed,4163,2,Improved Access to Services
CWI-001163,Rajasthan,Kota,2023-03-19,School,11-14,Mental Health Support,Critical,5,Medical Referral,Completed,Referred,10935,2,Stabilized
CWI-004255,rajasthan,Jodhpur,2025-09-20,Police,11-14,Family Reintegration,Low,2,Counseling,Completed,Closed,1902,5,Stabilized
CWI-006373,UP,Kanpur,2025-01-04,Community Worker,15-17,Protection Concern,High,4,Family Counseling,Completed,Open,4855,3,Unable to Verify Outcome
CWI-001528,Maharashtra,Thane,2023-10-10,Childline/Helpline,15-17,Education Support,High,2,Counseling,Pending,Open,5142,4,Stabilized
CWI-004343,Delhi,West Delhi,2023-03-08,Healthcare Facility,11-14,Family Reintegration,Low,5,Medical Referral,Completed,Closed,3097,14,Ongoing Support Needed
CWI-002031,Telangana,Warangal,2024-12-09,Childline/Helpline,6-10,Mental Health Support,Low,2,Nutrition Support,Pending,Escalated,1412,5,Stabilized
CWI-003061,Delhi,New Delhi,2025-12-25,Police,6-10,Family Reintegration,Low,3,Legal Aid Referral,In Progress,Closed,3044,4,Unable to Verify Outcome
CWI-000059,Andhra Pradesh,,2023-07-31,Childline/Helpline,0-5,Protection Concern,Low,3,Medical Referral,Completed,Open,2507,7,Referred to Specialist Agency
CWI-002406,Karnataka,Belagavi,2024-11-25,Self/Family,0-5,Emergency Shelter,Critical,3,Family Counseling,In Progress,Closed,7526,0,Stabilized
CWI-005007,Rajasthan,Kota,2023-02-09,School,11-14,Mental Health Support,Critical,2,Counseling,Pending,Referred,4378,0,Improved Access to Services
CWI-006158,telangana,Warangal,2025-07-04,Community Worker,6-10,Protection Concern,High,2,Nutrition Support,In Progress,Closed,3141,4,Stabilized
CWI-007376,Andhra Pradesh,Vijayawada,2025-08-13,Childline/Helpline,11-14,Protection Concern,Low,4,Family Counseling,Completed,Referred,2905,9,Improved Access to Services
CWI-004507,Maharashtra,,2024-09-12,Self/Family,15-17,Emergency Shelter,Medium,4,Shelter Referral,Completed,Closed,2770,9,Referred to Specialist Agency
CWI-005215,Maharashtra,Nashik,2025-03-21,NGO Partner,11-14,Education Support,Low,3,Shelter Referral,Unable to Contact,Referred,2503,11,Improved Access to Services
CWI-006030,Andhra Pradesh,Visakhapatnam,2025-10-15,NGO Partner,6-10,Education Support,Medium,2,Legal Aid Referral,Completed,Closed,2751,5,Unable to Verify Outcome
CWI-001781,Andhra Pradesh,Visakhapatnam,2024-08-23,Self/Family,0-5,Protection Concern,High,1,Counseling,Completed,Open,7678,3,Unable to Verify Outcome
CWI-005448,Tamil Nadu,Madurai,2023-05-12,Healthcare Facility,11-14,Mental Health Support,High,4,Legal Aid Referral,In Progress,Closed,6580,2,Unable to Verify Outcome
CWI-004607,Rajasthan,Jodhpur,2023-06-29,Childline/Helpline,6-10,Mental Health Support,Medium,2,Education Kit,Completed,Open,2938,7,Ongoing Support Needed
CWI-006915,Kerala,Kollam,2024-08-14,School,11-14,Education Support,High,2,Legal Aid Referral,Completed,Referred,9988,1,Improved Access to Services
CWI-000677,Uttar Pradesh,Prayagraj,2024-11-14,Healthcare Facility,11-14,Protection Concern,High,4,Nutrition Support,Completed,Open,8201,3,Referred to Specialist Agency
CWI-003583,Maharashtra,Nagpur,2023-03-18,NGO Partner,15-17,Health/Nutrition,Medium,3,Family Counseling,Completed,Closed,5854,3,Improved Access to Services
CWI-003654,Karnataka,Bengaluru Urban,2025-06-04,NGO Partner,0-5,Protection Concern,Low,1,Medical Referral,Completed,Open,1872,9,Stabilized
CWI-007921,West Bengal,Siliguri,2024-01-12,Police,11-14,Health/Nutrition,Low,2,Cash Support,Completed,Referred,913,4,Stabilized
CWI-009500,karnataka,Bengaluru Urban,2025-11-05,Self/Family,11-14,Mental Health Support,Medium,4,Education Kit,Completed,reffered,4788,4,Improved Access to Services
CWI-002733,Delhi,West Delhi,2025-08-01,Childline/Helpline,11-14,Protection Concern,Medium,3,Cash Support,Completed,Open,6309,6,Referred to Specialist Agency
CWI-004788,kerala,Thiruvananthapuram,2025-12-25,School,15-17,Education Support,Medium,2,Family Counseling,Completed,Closed,3704,5,Ongoing Support Needed
CWI-002755,UP,Lucknow,2023-03-30,NGO Partner,11-14,Mental Health Support,Low,5,Education Kit,Completed,Closed,1873,9,Ongoing Support Needed
CWI-002338,Tamil Nadu,Salem,2025-07-23,Childline/Helpline,6-10,Family Reintegration,Medium,1,Education Kit,Completed,Escalated,2860,8,Improved Access to Services
CWI-003644,Andhra Pradesh,Guntur,2024-12-23,School,11-14,Education Support,Low,4,Family Counseling,Completed,Open,2867,7,Stabilized
CWI-007738,Maharashtra,Pune,2023-04-07,School,15-17,Emergency Shelter,High,3,Shelter Referral,In Progress,Closed,2934,2,Improved Access to Services
CWI-005517,Andhra Pradesh,Tirupati,2025-10-08,Healthcare Facility,11-14,Education Support,Low,4,Legal Aid Referral,Completed,Closed,2732,2,Improved Access to Services
CWI-007715,Maharashtra,,2025-01-03,Community Worker,6-10,Education Support,Low,3,Medical Referral,Completed,Open,2768,11,Referred to Specialist Agency
CWI-000867,Rajasthan,Jaipur,2023-11-21,NGO Partner,11-14,Education Support,Low,4,Medical Referral,Completed,Referred,1328,11,Ongoing Support Needed
CWI-004448,Maharashtra,Mumbai,2024-11-01,NGO Partner,0-5,Health/Nutrition,Medium,4,Medical Referral,Completed,Closed,3941,10,Improved Access to Services
CWI-005072,Tamil nadu,Madurai,2023-11-26,Police,11-14,Family Reintegration,Critical,3,Medical Referral,Completed,Escalated,5756,2,Stabilized
CWI-004882,Delhi,New Delhi,2024-10-05,Police,11-14,Health/Nutrition,High,3,Cash Support,Completed,Open,5570,0,Stabilized
CWI-009511,Delhi,South Delhi,2025-10-19,Police,6-10,Education Support,Critical,3,Education Kit,Unable to Contact,Closed,6309,1,Improved Access to Services
CWI-003003,Karnataka,Mangaluru,2024-02-17,Community Worker,11-14,Emergency Shelter,Medium,5,Family Counseling,Completed,Closed,612,5,Ongoing Support Needed
CWI-002226,Karnataka,Mysuru,2025-11-17,Childline/Helpline,0-5,Education Support,Low,2,Nutrition Support,Completed,Open,1632,2,Improved Access to Services
CWI-009057,West Bengal,Kolkata,2025-07-24,Healthcare Facility,15-17,Protection Concern,Low,4,Medical Referral,Completed,Open,1354,10,Stabilized
CWI-004827,Andhra pradesh,Visakhapatnam,2023-04-22,School,11-14,Health/Nutrition,Low,7,Nutrition Support,Completed,Closed,4229,10,Ongoing Support Needed
CWI-007622,Kerala,,2023-07-17,Childline/Helpline,0-5,Education Support,High,3,Medical Referral,In Progress,Closed,5737,4,Referred to Specialist Agency
CWI-009690,Andhra Pradesh,Tirupati,2024-03-14,Childline/Helpline,0-5,Protection Concern,High,3,Medical Referral,Completed,Referred,5868,3,Ongoing Support Needed
CWI-005501,Andhra Pradesh,Guntur,2024-04-09,Self/Family,11-14,Mental Health Support,High,6,Legal Aid Referral,Unable to Contact,Open,7100,4,Referred to Specialist Agency
CWI-009701,Telangana,Hyderabad,2024-05-05,Community Worker,6-10,Emergency Shelter,High,3,Education Kit,Completed,Closed,5290,3,Ongoing Support Needed
CWI-008479,Karnataka,Bengaluru Urban,2025-10-29,School,6-10,Mental Health Support,Critical,2,Nutrition Support,Pending,Escalated,10654,1,Ongoing Support Needed
CWI-005503,Andhra Pradesh,Vijayawada,2024-04-16,NGO Partner,11-14,Education Support,Low,2,Counseling,Completed,Referred,1903,0,Stabilized
CWI-001211,Kerala,Kochi,2023-10-31,Childline/Helpline,0-5,Education Support,Critical,3,Shelter Referral,Pending,Open,7372,2,Referred to Specialist Agency
CWI-009084,Karnataka,Mangaluru,2023-10-03,Healthcare Facility,11-14,Mental Health Support,Low,3,Counseling,Completed,Open,3136,4,Improved Access to Services
CWI-002289,karnataka,Belagavi,2024-07-29,Childline/Helpline,11-14,Emergency Shelter,Low,2,Cash Support,Completed,Open,2610,3,Stabilized
CWI-002184,Andhra Pradesh,Kurnool,2025-07-26,NGO Partner,0-5,Mental Health Support,Medium,2,Family Counseling,In Progress,Closed,2785,0,Improved Access to Services
CWI-002863,Tamil Nadu,Chennai,2024-04-04,Childline/Helpline,6-10,Emergency Shelter,Medium,6,Medical Referral,Unable to Contact,Open,5331,6,Improved Access to Services
CWI-006862,UP,Agra,2023-09-19,Healthcare Facility,11-14,Education Support,Medium,3,Medical Referral,In Progress,Closed,5427,4,Improved Access to Services
CWI-002363,Maharashtra,Pune,2023-04-28,Childline/Helpline,11-14,Protection Concern,Medium,2,Nutrition Support,Completed,Closed,6026,7,Improved Access to Services
CWI-008464,Rajasthan,Udaipur,2024-12-07,Childline/Helpline,6-10,Education Support,Critical,5,Family Counseling,Completed,Referred,5893,2,Ongoing Support Needed
CWI-006333,maharashtra,Mumbai,2024-08-29,Police,6-10,Health/Nutrition,Medium,5,Family Counseling,Pending,Closed,883,2,Ongoing Support Needed
CWI-004065,Andhra Pradesh,Visakhapatnam,2023-06-12,Community Worker,11-14,Mental Health Support,Low,5,Family Counseling,Completed,Open,3347,9,Ongoing Support Needed
CWI-009547,West Bengal,Asansol,2025-12-22,Healthcare Facility,11-14,Protection Concern,High,5,Legal Aid Referral,Pending,Closed,8775,6,Stabilized
CWI-000618,Tamil Nadu,Tiruchirappalli,2025-03-27,NGO Partner,0-5,Emergency Shelter,Low,3,Medical Referral,Unable to Contact,Closed,4123,5,Referred to Specialist Agency
CWI-003282,Telangana,Nizamabad,2025-01-09,Healthcare Facility,6-10,Health/Nutrition,Low,5,Family Counseling,Completed,Closed,2104,6,Stabilized
CWI-005227,Andhra Pradesh,Kurnool,2024-03-05,NGO Partner,11-14,Emergency Shelter,Low,2,Shelter Referral,Completed,Closed,1825,5,Referred to Specialist Agency
CWI-003398,Andhra Pradesh,Guntur,2023-11-15,Healthcare Facility,15-17,Education Support,High,2,Family Counseling,Completed,Closed,7407,2,Improved Access to Services
CWI-003066,Maharashtra,Nashik,2024-01-11,Childline/Helpline,0-5,Emergency Shelter,Low,4,Medical Referral,In Progress,Closed,1785,10,Stabilized
CWI-000767,Karnataka,Mangaluru,2024-01-20,Community Worker,0-5,Health/Nutrition,High,2,Legal Aid Referral,In Progress,Open,8070,5,Ongoing Support Needed
CWI-007079,Andhra Pradesh,Guntur,2024-02-02,Police,15-17,Mental Health Support,High,3,Family Counseling,Completed,Closed,6129,0,Stabilized
CWI-005280,Keralam,Kollam,2025-12-06,Healthcare Facility,15-17,Health/Nutrition,Medium,2,Nutrition Support,Completed,open,5758,3,Stabilized
CWI-004150,Maharashtra,Nashik,2025-09-26,School,11-14,Mental Health Support,High,7,Shelter Referral,Completed,Closed,9911,2,Improved Access to Services
CWI-001145,Maharashtra,Nagpur,2023-07-24,Community Worker,11-14,Protection Concern,Medium,4,Counseling,Completed,Closed,5079,6,Referred to Specialist Agency
